year_month,ukr_military_aid_allocated,ukr_financial_aid_allocated,ukr_humanitarian_aid_allocated,total_aid_allocated,rus_monthly_sanctions,inflation_rate_percent_ukr,inflation_rate_percent_rus,tot_events,tot_shell_artil_missile_events,tot_air_drone_strike_events,tot_armed_clash_events,tot_ied_landmine_etc_events,tot_attack_events,tot_fatalities,tot_civ_targetting,civilian_killed,civilian_injuried,civilian_casualties,rus_military_personnel_losses,rus_tank_losses,rus_armored_fighting_vehicle_losses,rus_artillery_system_losses,rus_mlrs_losses,rus_anti_aircraft_warfare_losses,rus_plane_losses,rus_helicopter_losses,rus_uav_losses,rus_cruise_missile_losses,rus_ship_losses,rus_car_cistern_losses,rus_special_equipment_losses,refugees_czechia,refugees_germany,refugees_ireland,refugees_italy,refugees_netherlands,refugees_poland,refugees_romania,refugees_slovakia,refugees_spain,refugees_united_kingdom
2022-02,1.0211,1.9821,0.2093,3.2125,4906,10.7,9.2,393,164,33,139,10,47,539,90,378,469,847,,,,,,,,,,,,,,,,,,,,,,,
2022-03,2.0247,1.812,1.2905,5.1271,2748,13.7,16.7,2307,1196,169,610,46,286,5010,814,4313,3019,7332,3900,414,889,231,56,45,113,100,82,,5,865,14,,,,,,,,,,
2022-04,5.6715,2.3552,1.3698,9.3965,1633,16.4,17.8,2093,1387,148,422,60,76,2836,471,842,1905,2747,5800,401,720,135,55,26,49,24,160,,1,501,8,,,,,,,,,,
2022-05,1.3036,2.8901,1.1916,5.3853,364,18.0,17.1,2913,1900,268,635,42,68,4466,533,589,1152,1741,7200,335,872,208,56,14,16,20,274,36,5,494,17,,780000,32421,125907,60020,1142964,,78756,109541,37400
2022-06,5.4231,1.408,0.7126,7.5438,649,21.5,15.9,3639,2512,392,638,45,52,2970,470,435,1109,1544,5050,216,393,137,39,11,9,11,126,23,2,320,12,382768,867000,38288,141562,66780,1194642,90297,79770,124052,86600
2022-07,2.2392,3.6728,0.917,6.8291,430,22.2,15.1,4410,3326,566,416,56,46,2977,405,390,1154,1544,5280,191,275,136,13,12,6,4,91,31,,302,21,400559,915000,42764,154710,68050,1246315,84527,87027,131771,104000
2022-08,6.3972,5.7651,0.0998,12.2621,212,23.8,14.3,5101,3836,541,569,86,69,3729,494,347,922,1269,7320,229,334,183,28,36,11,15,115,22,,327,22,423374,971000,46481,159968,,1353338,87066,90612,139116,120600
2022-09,3.3864,0.5501,0.7539,4.6905,553,24.6,13.7,4651,3579,422,525,76,49,3837,473,415,986,1401,11260,357,604,282,49,23,30,21,158,50,,547,27,439043,997895,49999,170646,79250,1409139,81621,95375,144668,131700
2022-10,2.8484,2.6962,0.2637,5.8083,216,26.6,12.6,4122,2862,250,899,68,43,5505,394,317,795,1112,12860,344,552,333,47,21,12,31,406,151,1,357,23,455731,1002668,56333,171546,,1469032,87853,98770,150460,140300
2022-11,3.8224,7.069,0.6031,11.4945,163,26.5,12.0,4144,3038,143,831,94,38,5437,346,189,542,731,16970,217,376,174,12,13,4,4,147,134,,298,9,467862,1021667,58511,173231,85210,1521085,94526,102476,155473,147800
